,ACTIONS,GRADE
17492,26,7
17494,38,7
17495,9,7
17496,19,7
17498,38,7
17499,11,7
17501,10,7
17502,16,7
17503,11,7
17504,8,8
17505,6,8
17506,60,8
17507,9,8
17508,38,8
17509,5,8
17510,60,8
17511,8,8
17513,5,8
17514,7,8
17515,29,8
17516,7,8
17524,10,6
17533,7,6
17535,14,6
17543,37,6
17545,36,6
17546,11,6
17547,20,6
17549,22,6
17550,5,6
17551,41,7
17553,56,7
17554,19,7
17555,9,7
17556,25,7
17561,29,8
17563,30,8
17564,14,8
17565,19,8
17566,39,8
17570,13,6
17572,7,6
17573,7,6
17574,16,6
17575,11,6
17582,31,7
17584,25,7
17585,18,7
17586,27,7
17587,58,7
17588,6,7
17590,26,8
17592,28,8
17593,7,8
17594,17,8
17596,19,8
17599,6,6
17600,13,6
17601,37,6
17603,89,6
17604,12,6
17608,61,7
17610,45,7
17612,18,8
17613,23,8
17615,8,6
17616,6,6
17617,16,6
17620,27,7
17627,8,6
17628,17,6
17629,33,6
17630,8,6
17631,40,6
17633,111,6
17634,15,6
17635,10,6
17636,5,6
17640,14,7
17642,7,7
17644,20,7
17645,5,7
17646,60,7
17649,7,8
17650,9,8
17651,11,8
17652,10,8
17653,12,8
17655,51,8
17656,7,8
17669,5,6
17671,23,6
17672,30,6
17674,8,7
17676,28,7
17677,61,7
17680,7,8
17684,27,8
17686,57,8
17693,7,5
17697,5,-1
17707,7,2
17710,10,3
17712,8,3
17714,5,4
17716,9,4
17718,5,5
17721,6,5
17723,8,0
17741,6,2
17754,14,2
17765,8,0
17767,8,1
17770,7,2
17772,5,3
17773,7,3
17775,5,4
17776,16,4
17779,5,5
17797,10,3
17806,9,1
17807,11,2
17811,8,4
17812,20,4
17816,11,5
17825,5,5
17827,5,1
17832,14,4
17833,6,5
17834,14,5
17836,6,1
17837,5,1
17840,7,2
17841,13,2
17842,5,2
17849,5,4
17850,12,4
17853,9,5
17855,10,0
17861,10,2
17862,5,2
17865,43,3
17866,5,3
17867,7,3
17869,8,4
17871,15,5
17873,17,5
17874,9,5
17879,5,3
17900,11,3
17903,6,4
17904,5,4
17907,6,0
17909,9,1
17910,9,1
17911,7,2
17912,7,2
17913,16,2
17914,8,2
17915,8,3
17916,8,3
17920,8,4
17922,6,4
17925,9,5
17926,18,5
17930,7,0
17934,5,1
17940,5,0
17943,5,-1
17945,7,2
17946,7,2
17947,7,3
17951,6,4
17955,6,5
17963,5,2
17966,8,3
17967,6,3
17973,5,4
17975,5,5
17983,5,-1
17993,12,2
17995,9,3
18000,9,4
18001,7,4
18020,10,1
18029,7,1
18031,7,2
18032,37,2
18033,6,2
18037,14,3
18038,32,3
18040,7,3
18041,20,4
18043,36,4
18044,9,4
18045,13,4
18046,15,5
18048,24,5
18051,9,0
18052,5,0
18053,8,0
18063,5,5
18074,5,4
18092,5,5
18096,5,4
18108,7,5
18111,5,0
18126,6,2
18127,5,3
18140,12,3
18143,9,4
18145,8,4
18147,16,5
18155,5,4
18157,18,5
18158,7,5
18167,5,2
18169,6,3
18171,5,3
18172,5,3
18173,6,3
18176,6,3
18178,6,4
18196,7,5
18202,11,2
18206,9,3
18207,6,4
18208,6,4
18220,5,1
18225,6,4
18228,9,5
18234,5,2
18236,13,3
18240,5,3
18244,7,4
18247,6,0
18274,5,5
18276,9,2
18279,7,5
18293,6,3
18295,7,3
18297,7,4
18299,13,4
18303,14,5
18311,6,3
18313,6,5
18316,5,1
18338,12,4
18342,9,0
18357,10,1
18361,6,3
18365,7,5
18367,6,-1
18371,12,4
18372,6,1
18373,7,2
18379,5,4
18381,14,4
18382,7,5
18397,5,5
18410,9,1
18412,10,1
18415,12,2
18417,6,3
18419,6,4
18421,7,4
18441,11,2
18442,5,2
18446,18,3
18449,7,4
18450,19,4
18452,14,5
18453,28,5
18457,11,0
18465,6,5
18493,6,5
18496,5,1
18499,5,2
18501,5,3
18502,5,3
18503,5,4
18508,15,5
18524,6,3
18544,5,2
18545,9,2
18547,5,2
18552,8,3
18559,5,5
18569,5,2
18578,5,5
18587,5,2
18589,5,2
18591,5,2
18592,7,3
18594,5,3
18595,7,3
18597,5,4
18599,11,4
18603,14,5
18604,7,5
18622,5,5
18628,10,4
18650,5,3
18665,5,3
18667,6,4
18668,7,4
18674,5,0
18676,6,2
18686,15,1
18689,21,2
18691,6,3
18692,9,4
18693,12,4
18699,33,5
18701,5,5
18705,6,1
18706,6,1
18708,13,1
18713,6,2
18717,11,3
18718,44,3
18723,8,4
18724,17,4
18728,6,4
18730,11,5
18731,17,5
18734,10,5
18737,9,0
18743,5,1
18746,11,2
18747,5,3
18749,6,4
18750,12,5
18755,20,2
18757,5,3
18759,17,4
18761,9,5
18763,5,5
18769,9,1
18773,13,2
18777,19,3
18779,6,4
18780,63,4
18783,13,4
18785,42,5
18811,12,2
18813,7,3
18820,16,0
18830,7,2
18831,7,2
18838,5,5
18839,10,5
18840,5,5
18841,8,0
18863,5,1
18875,9,4
18884,12,0
18897,24,3
18899,19,3
18900,7,3
18905,5,4
18908,5,4
18909,7,4
18912,8,5
18915,5,1
18932,8,2
18934,6,4
18937,12,5
18948,13,2
18949,6,2
18951,13,3
18954,12,4
18959,21,0
18965,25,2
18969,14,3
18970,5,3
18972,8,4
18975,13,5
18976,13,5
18983,7,4
18991,5,2
18995,5,3
18998,5,5
19019,5,5
19025,6,1
19028,8,3
19042,6,1
19046,8,2
19048,13,3
19050,12,4
19054,5,5
19056,6,5
19058,8,0
19062,6,2
19120,6,0
19123,13,1
19128,5,2
19131,15,3
19136,6,4
19143,12,-1
19158,7,4
19159,10,4
19166,7,5
19167,5,5
19173,5,0
19178,5,4
19180,5,5
19183,7,2
19185,6,2
19187,5,2
19206,9,4
19214,13,6
19215,5,6
19217,16,6
19220,6,7
19223,27,7
19227,9,8
19230,14,8
19231,19,6
19233,41,6
19234,15,6
19235,13,6
19237,40,6
19239,5,6
19240,32,7
19241,6,7
19242,59,7
19243,18,7
19244,36,7
19246,117,7
19247,10,7
19249,53,8
19251,32,8
19253,43,8
19255,68,8
19256,6,8
19257,20,6
19258,7,6
19259,72,6
19260,12,6
19261,5,6
19262,26,6
19263,7,6
19268,44,7
19270,64,7
19271,13,7
19272,10,7
19273,17,7
19276,33,8
19277,13,8
19278,112,8
19279,23,8
19281,34,8
19291,11,7
19293,78,7
19294,19,7
19295,8,7
19296,58,7
19297,6,7
19298,10,8
19299,62,8
19300,13,8
19301,120,8
19302,19,8
19303,20,8
19305,49,8
19306,6,8
19307,5,6
19308,11,6
19312,17,9
19314,26,9
19315,20,9
19318,14,10
19319,5,10
19320,7,10
19324,25,11
19325,5,11
19326,9,11
19327,5,11
19331,5,12
19343,6,9
19356,210,9
19357,18,9
19358,226,9
19359,59,9
19360,24,9
19362,18,9
19363,7,9
19364,8,9
19367,9,9
19372,209,10
19373,17,10
19374,206,10
19375,61,10
19376,25,10
19378,41,10
19382,6,10
19384,103,11
19385,11,11
19386,120,11
19387,28,11
19388,12,11
19389,7,11
19392,8,11
19394,99,12
19395,8,12
19396,114,12
19397,20,12
19400,7,12
19401,5,12
19403,19,6
19405,39,6
19411,66,7
19413,83,7
19414,9,7
19415,5,7
19418,64,8
19419,6,8
19420,58,8
19421,11,8
19423,8,8
19425,16,6
19426,41,6
19430,55,7
19432,37,7
19433,15,7
19434,7,7
19435,12,7
19436,8,7
19440,41,8
19441,30,8
19442,10,8
19446,23,6
19448,42,6
19449,14,6
19450,11,6
19454,35,7
19455,10,7
19456,38,7
19457,11,7
19459,11,7
19460,5,7
19464,24,8
19465,6,8
19466,26,8
19467,21,8
19468,8,8
19480,12,4
19484,10,5
19498,10,5
19501,8,0
19507,5,4
19514,6,1
19515,12,1
19516,7,2
19519,15,3
19522,41,4
19523,5,4
19527,12,5
19529,19,5
19530,9,5
19534,13,0
19535,13,0
19543,7,3
19552,5,5
19555,83,9
19557,176,9
19558,42,9
19559,38,9
19560,41,9
19561,12,9
19566,5,9
19567,69,10
19568,10,10
19569,116,10
19570,55,10
19571,24,10
19573,36,10
19578,5,10
19581,47,11
19582,5,11
19583,32,11
19584,15,11
19585,6,11
19586,9,11
19591,39,12
19592,37,12
19593,9,12
19595,12,12
19603,15,7
19605,22,7
19608,19,7
19609,6,7
19613,25,8
19615,36,8
19617,15,8
19618,11,8
19620,21,7
19621,30,7
19622,21,7
19623,17,7
19624,15,7
19625,14,7
19629,11,7
19630,13,8
19631,60,8
19632,28,8
19633,9,8
19635,24,8
19637,6,7
19638,18,7
19640,5,7
19642,12,7
19644,17,8
19645,26,8
19647,7,8
19656,14,2
19657,6,2
19671,6,3
19675,5,2
19679,8,3
19687,17,2
19689,11,3
19690,7,3
19694,13,4
19695,16,4
19703,8,2
19704,9,2
19708,6,3
19709,7,3
19712,12,4
19713,8,4
19721,8,1
19725,6,2
19732,12,0
19736,22,5
19737,9,5
19738,55,5
19740,7,5
19741,14,5
19745,13,5
19748,12,6
19749,31,6
19750,10,6
19751,6,6
19752,13,6
19757,8,5
19758,14,5
19760,6,5
19762,43,5
19765,10,6
19766,9,6
19768,30,6
19769,5,6
19770,29,6
19771,6,6
19772,9,6
19775,57,5
19776,8,5
19777,10,5
19778,7,5
19779,18,5
19783,13,6
19784,28,6
19785,11,6
19797,14,4
19802,5,2
19806,23,9
19808,31,9
19809,9,9
19810,48,9
19811,72,9
19812,31,9
19813,5,9
19814,14,9
19816,8,10
19818,24,10
19819,5,10
19820,11,10
19822,32,10
19823,8,10
19826,8,10
19829,7,11
19830,5,11
19833,16,11
19835,26,11
19837,6,11
19844,12,12
19850,31,9
19851,10,9
19852,44,9
19853,22,9
19854,30,9
19856,78,9
19857,23,9
19861,15,9
19862,5,9
19864,36,10
19866,36,10
19867,10,10
19868,41,10
19870,76,10
19871,6,10
19874,8,10
19875,26,11
19876,27,11
19878,17,11
19879,29,11
19880,8,11
19881,13,12
19882,14,12
19883,9,12
19884,6,12
19885,21,12
19889,6,9
19890,21,9
19892,41,9
19893,7,9
19894,17,9
19896,41,9
19900,5,9
19902,6,10
19903,8,10
19904,12,10
19905,6,10
19906,10,10
19907,34,10
19909,5,10
19911,8,11
19912,5,11
19913,11,11
19915,5,11
19916,11,11
19919,7,11
19920,9,12
19922,10,12
19924,6,12
19926,35,9
19927,7,9
19928,60,9
19929,25,9
19930,7,9
19931,35,9
19936,17,9
19937,12,9
19938,25,10
19939,8,10
19940,27,10
19941,16,10
19942,17,10
19943,10,10
19944,35,10
19945,7,10
19948,11,10
19950,6,11
19952,15,11
19956,20,11
19959,8,11
19961,14,12
19962,6,12
19963,6,12
19965,5,12
19966,7,12
19974,11,9
19976,14,9
19977,8,9
19980,24,9
19981,5,9
19984,5,9
19986,5,9
19989,17,10
19991,15,10
19992,14,10
19994,19,10
19995,5,10
19996,10,11
19998,13,11
20000,10,11
20005,11,12
20006,10,12
20007,8,12
20009,10,12
20013,23,9
20014,33,9
20015,7,9
20016,7,9
20017,25,9
20018,9,9
20019,8,9
20022,27,9
20023,12,9
20024,16,10
20026,40,10
20027,7,10
20028,16,10
20029,61,10
20030,13,10
20033,10,10
20034,10,10
20037,12,11
20038,10,11
20039,7,11
20040,12,11
20042,9,11
20044,11,12
20045,34,12
20046,5,12
20048,17,12
20049,5,12
20055,9,12
20060,6,9
20061,20,9
20062,13,9
20063,13,9
20064,23,9
20067,19,9
20069,5,10
20070,11,10
20071,5,10
20074,22,10
20077,28,10
20080,14,11
20082,9,11
20083,9,11
20084,11,11
20085,6,11
20089,9,11
20092,17,12
20093,5,12
20095,5,12
20096,27,12
20098,5,12
20108,5,6
20109,11,6
20111,23,6
20112,18,6
20118,6,7
20121,6,7
20122,22,7
20123,27,7
20124,29,7
20125,25,7
20130,5,7
20132,8,8
20133,6,8
20135,16,8
20136,25,8
20139,7,8
20141,11,6
20142,6,6
20144,25,6
20146,6,6
20149,5,7
20151,6,7
20152,10,7
20153,41,7
20154,12,7
20155,89,7
20156,36,7
20158,13,7
20162,6,8
20163,11,8
20164,19,8
20165,35,8
20168,33,8
20170,18,8
20173,5,8
20174,9,6
20176,5,6
20177,25,6
20178,11,6
20179,66,6
20180,65,6
20181,23,6
20183,15,6
20184,18,6
20187,13,7
20188,41,7
20190,49,7
20191,14,7
20193,5,7
20196,13,8
20197,19,8
20198,27,8
20199,58,8
20200,9,8
20201,5,8
20202,10,8
20204,15,6
20205,9,6
20206,11,6
20208,11,6
20210,33,6
20211,11,6
20216,6,6
20220,12,7
20221,6,7
20222,18,7
20223,6,7
20225,8,8
20226,22,8
20227,6,8
20228,9,8
20230,51,8
20231,11,8
20233,10,6
20234,14,6
20235,5,6
20241,11,7
20243,13,7
20244,11,7
20246,6,7
20247,14,8
20248,8,8
20249,9,8
20251,7,6
20252,54,6
20253,15,6
20255,5,6
20256,46,6
20259,11,6
20261,18,7
20262,37,7
20264,62,7
20266,157,7
20267,12,7
20270,14,8
20271,29,8
20272,8,8
20273,57,8
20274,9,8
20275,100,8
20276,16,8
20277,5,8
20278,5,8
20279,6,8
20281,12,6
20282,7,6
20283,25,6
20284,21,6
20285,9,6
20286,39,6
20287,13,6
20289,5,6
20290,22,6
20292,13,7
20293,29,7
20295,14,7
20296,45,7
20301,14,7
20302,6,7
20304,9,8
20305,19,8
20306,6,8
20307,15,8
20308,10,8
20312,7,8
20313,5,8
20314,15,6
20315,55,6
20317,12,6
20318,5,6
20319,18,6
20324,12,6
20326,10,7
20327,39,7
20329,9,7
20330,6,7
20333,6,7
20335,15,7
20336,5,7
20338,48,8
20339,32,8
20340,14,8
20341,7,8
20342,12,8
20343,6,8
20344,12,8
20346,7,8
20347,16,6
20349,87,6
20350,34,6
20351,5,6
20352,37,6
20358,10,6
20359,15,7
20361,29,7
20362,11,7
20363,8,7
20365,18,7
20367,7,7
20368,6,7
20371,30,8
20373,75,8
20374,29,8
20375,17,8
20376,13,8
20377,51,8
20378,15,8
20380,7,8
20382,7,8
20386,6,6
20389,10,6
20390,5,6
20391,15,6
20392,8,6
20398,5,7
20401,10,7
20402,39,7
20405,5,7
20406,20,7
20409,9,8
20413,11,8
20415,5,8
20417,11,6
20418,12,6
20423,11,6
20425,5,7
20427,14,7
20428,6,7
20431,11,7
20433,6,7
20438,20,8
20439,7,8
20440,10,8
20444,13,8
20468,8,4
20482,5,4
20486,5,1
20492,23,1
20497,7,3
20501,8,4
20502,21,4
20503,6,4
20504,25,4
20505,7,4
20506,33,5
20508,23,5
20509,17,5
20528,6,1
20529,5,1
20536,10,0
20538,8,3
20545,5,5
20549,12,0
20554,5,4
20563,6,4
20575,5,5
20578,7,0
20579,6,0
20581,6,1
20585,7,1
20587,5,3
20589,9,4
20590,5,4
20592,5,5
20596,6,1
20617,10,3
20618,7,3
20624,13,0
20632,6,0
20633,6,0
20638,12,7
20639,18,7
20642,6,8
20643,7,8
20644,7,8
20645,8,9
20646,14,9
20648,7,10
20649,14,10
20658,8,5
20662,16,5
20666,8,1
20671,8,1
20682,7,0
20691,5,5
20694,6,1
20705,6,1
20706,22,2
20711,13,5
20728,5,4
20736,7,4
20748,5,1
20749,6,1
20751,12,2
20752,14,2
20770,5,3
20780,6,0
20781,5,-1
20784,8,-1
20800,9,9
20801,6,9
20802,45,9
20803,8,9
20804,30,9
20805,6,9
20806,84,9
20807,38,9
20810,8,9
20813,17,10
20815,34,10
20816,7,10
20817,17,10
20819,65,10
20820,14,10
20824,8,11
20826,11,11
20827,11,11
20828,10,11
20829,21,11
20830,7,11
20834,5,12
20835,14,12
20840,13,9
20841,7,9
20842,9,9
20844,10,9
20845,6,9
20849,9,10
20851,12,10
20857,5,11
20861,13,11
20863,8,12
20891,8,6
20893,13,6
20894,17,6
20895,5,6
20896,13,6
20901,7,7
20903,7,7
20905,12,7
20907,20,7
20915,8,8
20917,5,8
20918,16,8
20919,5,8
20924,16,6
20925,23,6
20926,6,6
20927,21,6
20928,8,6
20929,52,6
20932,13,6
20933,6,6
20937,7,7
20938,40,7
20939,12,7
20940,23,7
20941,7,7
20942,25,7
20943,27,7
20948,8,7
20949,9,8
20951,21,8
20952,11,8
20953,32,8
20954,49,8
20955,12,8
20957,9,8
20993,6,7
20998,7,8
20999,7,6
21000,9,6
21001,14,6
21002,5,6
21005,5,7
21006,6,7
21007,14,7
21008,5,7
21010,11,8
21012,29,8
21018,11,7
21019,13,8
21028,10,8
21031,23,8
21046,9,5
21068,13,9
21069,11,9
21070,22,9
21071,22,9
21073,62,9
21074,7,9
21077,7,9
21078,6,10
21079,18,10
21080,14,10
21082,9,10
21084,27,10
21085,5,10
21087,5,10
21088,7,11
21089,10,11
21090,11,11
21091,11,11
21092,19,11
21095,7,12
21098,11,12
21099,5,12
21102,18,9
21104,23,9
21105,5,9
21106,13,9
21107,25,9
21108,12,9
21114,7,10
21115,11,10
21118,9,10
21123,7,10
21126,7,11
21128,5,11
21130,5,11
21135,6,12
21145,14,9
21147,46,9
21148,6,9
21150,7,9
21153,12,10
21154,5,10
21155,29,10
21156,8,10
21165,6,11
21174,11,12
21176,8,9
21177,12,9
21181,9,10
21186,15,12
21187,5,12
21189,10,9
21190,44,9
21197,17,10
21198,5,10
21202,7,11
21203,8,11
21210,7,12
21218,24,6
21223,20,7
21224,11,7
21225,23,7
21226,6,7
21231,22,8
21233,19,8
21235,9,8
21236,6,6
21238,5,6
21240,18,6
21243,5,7
21244,18,7
21245,45,7
21246,5,7
21250,12,8
21252,43,8
21258,12,6
21259,21,6
21265,5,7
21266,11,7
21267,11,7
21268,10,7
21269,24,7
21270,23,7
21274,6,7
21279,17,8
21280,40,8
21281,13,8
21284,7,6
21285,5,6
21287,12,6
21292,9,7
21293,10,7
21296,7,7
21300,16,8
21306,22,6
21307,9,6
21311,8,7
21313,17,7
21317,6,8
21319,38,8
21328,6,8
21329,5,8
21330,7,8
21332,5,8
21341,14,6
21342,9,6
21345,12,7
21347,29,7
21348,14,7
21357,17,8
21363,16,6
21365,16,6
21368,5,6
21370,5,6
21372,9,7
21373,5,7
21375,27,7
21377,30,7
21382,10,8
21383,8,8
21384,12,8
21385,20,8
21387,6,8
21390,5,3
21395,5,5
21405,8,4
21416,5,4
21418,5,4
21428,6,1
21438,8,1
21442,6,3
21451,15,5
21452,5,5
21453,5,0
21498,6,1
21503,5,3
21509,7,1
21525,6,5
21534,5,0
21538,5,2
21544,7,1
21546,5,1
21550,7,3
21556,8,5
21567,5,1
21575,5,5
21586,6,5
21589,7,0
21591,59,9
21592,5,9
21593,68,9
21594,27,9
21599,56,10
21600,9,10
21601,80,10
21602,6,10
21610,46,11
21611,8,11
21612,48,11
21613,17,11
21619,17,12
21621,27,12
21623,5,12
21625,69,7
21626,8,7
21627,149,7
21628,8,7
21629,12,7
21630,9,7
21631,67,8
21633,87,8
21634,32,8
21635,10,8
21636,7,8
21642,47,6
21643,45,6
21644,6,6
21646,6,6
21649,6,3
21654,18,5
21656,5,5
21666,6,4
21670,6,5
21680,5,5
21685,16,2
21688,6,3
21696,12,1
21704,28,4
21708,9,5
21710,8,0
21714,6,1
21724,8,4
21725,8,4
21728,16,5
21735,11,2
21738,8,3
21740,6,4
21749,22,9
21750,5,9
21751,34,9
21752,13,9
21753,19,9
21755,31,9
21759,6,9
21762,12,10
21764,5,10
21765,6,10
21766,8,10
21767,16,10
21770,6,10
21771,7,11
21773,12,11
21776,16,11
21781,6,12
21784,5,12
21787,22,9
21789,22,9
21790,6,9
21791,16,9
21792,12,9
21793,24,9
21797,16,10
21798,5,10
21799,18,10
21801,5,10
21802,8,10
21805,5,10
21806,5,11
21808,6,11
21815,6,11
21824,28,9
21826,26,9
21827,36,9
21828,19,9
21830,48,9
21836,11,10
21838,19,10
21839,6,10
21842,7,10
21845,6,10
21846,8,11
21849,8,11
21850,9,11
21853,10,12
21862,21,9
21863,5,9
21864,16,9
21866,5,9
21867,8,9
21871,10,10
21873,9,10
21877,8,10
21879,7,10
21882,6,11
21885,10,11
21889,5,12
21894,20,9
21896,42,9
21897,5,9
21901,16,10
21902,14,10
21905,9,10
21910,7,11
21912,6,11
21915,9,11
21919,7,12
21924,15,7
21925,10,7
21932,6,8
21933,9,8
21934,8,8
21937,9,7
21938,9,7
21939,27,7
21940,7,7
21941,17,7
21943,38,7
21944,13,7
21949,17,8
21951,24,8
21952,7,8
21953,22,8
21955,34,8
21956,15,8
21957,18,8
21958,5,6
21962,5,7
21963,6,7
21965,14,7
21972,11,8
21974,5,8
21975,10,8
21978,22,7
21979,7,7
21980,23,7
21982,9,7
21984,15,7
21987,9,7
21989,17,8
21990,6,8
21991,12,8
21993,10,8
21994,15,8
21995,16,8
21997,10,8
21998,7,8
21999,6,7
22002,8,7
22004,7,8
22005,7,8
22006,10,8
22007,13,8
22008,25,8
22009,8,8
22016,9,7
22019,6,8
22024,5,8
22044,6,7
22057,5,1
22065,8,0
22099,5,1
22103,6,3
22104,6,4
22105,5,4
22135,6,6
22139,6,0
22204,9,12
22211,8,10
22213,9,10
22214,12,10
22216,5,10
22223,8,11
22224,14,11
22225,7,11
22235,9,9
22236,15,9
22237,18,9
22238,12,9
22240,34,9
22241,8,9
22242,5,9
22244,6,10
22246,13,10
22247,6,10
22250,11,10
22251,11,10
22252,5,10
22255,5,11
22258,9,11
22259,5,11
22264,5,12
22269,8,9
22271,5,9
22273,22,9
22282,7,10
22288,6,11
22297,20,9
22298,5,9
22299,17,9
22300,8,9
22301,13,9
22303,7,9
22307,7,9
22310,14,10
22311,5,10
22312,10,10
22313,11,10
22314,11,10
22317,10,11
22332,18,7
22334,16,7
22340,11,8
22342,15,8
22344,5,8
22348,5,7
22349,8,7
22356,20,8
22364,24,7
22366,15,7
22367,5,7
22371,8,8
22372,8,8
22373,9,8
22374,30,8
22375,5,8
22377,5,8
22378,5,8
22381,10,7
22383,33,7
22384,6,7
22385,5,7
22387,12,7
22388,6,7
22389,5,7
22392,16,8
22394,14,8
22395,17,8
22396,14,8
22398,24,8
22403,6,7
22404,15,7
22405,10,7
22407,10,7
22411,6,8
22414,9,8
22415,14,8
22418,5,7
22419,14,7
22421,7,7
22422,5,7
22423,15,7
22424,5,7
22427,7,7
22430,10,8
22432,10,8
22434,6,8
22437,5,7
22444,9,8
22445,5,8
22454,48,9
22455,7,9
22456,44,9
22457,16,9
22458,20,9
22460,17,9
22462,6,9
22464,5,9
22472,6,6
22479,7,4
22516,8,3
22552,5,4
22574,5,6
22581,9,0
22601,9,4
22625,5,4
22637,14,0
22644,6,4
22660,5,1
22664,5,3
22667,5,5
22686,5,5
22720,5,0
22739,16,6
22741,13,7
22743,5,8
22744,18,8
22748,7,4
22749,8,5
22778,5,9
22780,9,9
22781,11,9
22782,15,9
22783,5,9
22784,13,9
22785,12,9
22789,14,9
22792,10,10
22794,24,10
22795,10,10
22796,6,10
22797,17,10
22799,11,10
22801,7,10
22803,5,11
22805,11,11
22810,9,11
22816,5,12
22819,6,12
22827,6,9
22828,8,9
22831,8,9
22833,14,10
22835,6,10
22841,10,10
22842,6,10
22843,6,11
22853,5,12
22857,5,12
22870,5,10
22874,5,10
22875,7,10
22876,7,10
22885,6,11
22886,5,11
22911,8,6
22915,11,7
22917,7,8
22920,6,8
22923,9,8
22928,6,6
22930,5,6
22931,6,6
22933,6,6
22935,6,7
22936,7,7
22938,5,7
22940,6,7
22946,10,8
22948,7,8
22949,21,8
22950,7,8
22974,6,6
22976,5,7
22980,7,7
22981,10,7
22983,8,8
22984,6,8
22990,13,8
22991,10,8
22996,7,7
23002,5,6
23007,14,6
23011,8,7
23013,7,7
23018,7,8
23021,12,8
23047,6,4
23049,5,5
23057,7,3
23088,7,4
23116,8,5
23117,7,0
23119,15,0
23120,6,3
23128,8,1
23135,9,9
23138,10,9
23140,7,9
23142,38,9
23143,9,9
23149,6,9
23152,14,10
23153,9,10
23154,6,10
23155,24,10
23158,5,10
23160,8,10
23161,5,10
23163,10,11
23165,12,11
23166,7,11
23168,9,11
23176,10,12
23179,7,12
23197,12,9
23200,10,9
23205,9,9
23208,5,10
23213,13,10
23217,19,10
23220,5,11
23226,7,11
23233,5,12
23236,7,12
23245,6,9
23246,8,9
23247,5,9
23252,10,10
23256,5,11
23257,7,11
23260,7,11
23268,10,12
23271,6,12
23273,5,12
23277,6,10
23279,9,10
23282,6,10
23284,5,11
23295,6,12
23301,5,12
23317,20,9
23318,13,9
23319,10,9
23321,6,9
23344,5,8
23370,6,7
23374,5,8
23387,6,6
23392,11,7
23394,5,7
23397,7,8
23398,5,8
23399,7,8
23400,5,8
23407,7,6
23413,11,7
23426,5,8
23446,18,6
23449,6,6
23453,6,7
23454,8,7
23463,7,8
23493,5,2
23565,6,5
23595,9,9
23596,6,9
23597,7,9
23602,6,10
23607,5,12
23608,5,8
23613,5,9
23624,5,6
23628,6,7
23629,5,7
23630,6,8
23631,5,8
23673,11,10
23676,14,10
23688,6,12
23703,5,11
23710,12,9
23712,6,9
23715,10,9
23716,28,9
23717,12,9
23720,6,10
23721,6,10
23722,9,10
23725,7,10
23726,36,10
23727,14,10
23731,6,11
23734,15,11
23735,12,11
23738,9,12
23742,14,12
23743,5,12
23745,18,9
23746,8,9
23747,6,9
23758,5,9
23761,6,10
23767,5,10
23768,6,10
23776,8,11
23783,7,12
23794,8,9
23796,18,9
23797,5,9
23802,6,10
23807,17,10
23831,13,8
23863,6,5
23908,7,8
23932,18,9
23937,10,9
23940,12,10
23942,7,10
23944,22,10
23948,5,10
23962,11,12
23964,9,6
23965,7,6
23967,6,6
23969,6,6
23974,6,6
23975,6,7
23977,15,7
23980,8,7
23982,10,8
23984,11,8
23985,7,8
23986,29,8
23992,9,8
23993,8,8
24004,5,8
24005,7,8
24010,6,5
24021,7,0
24041,18,5
24046,7,9
24049,18,9
24053,8,9
24068,18,6
24070,5,6
24078,7,7
24083,9,8
24085,24,8
24087,5,8
24088,5,8
24089,5,8
24093,8,5
24096,5,3
24117,7,9
24134,6,9
24135,26,9
24138,8,10
24151,5,4
24152,13,4
24153,5,4
24155,6,5
24156,6,5
24158,11,6
24187,7,5
24197,9,2
24224,26,9
24226,81,9
24227,20,9
24228,261,9
24229,62,9
24230,8,9
24232,11,9
24234,14,10
24236,8,10
24237,34,10
24239,91,10
24240,19,10
24245,10,10
24250,17,11
24252,32,11
24255,10,11
24256,5,11
24259,5,12
24260,12,12
24261,7,12
24265,51,9
24267,40,9
24268,36,9
24269,110,9
24270,8,9
24271,223,9
24272,23,9
24275,35,9
24276,6,9
24277,79,9
24278,7,9
24281,19,10
24283,19,10
24284,8,10
24285,43,10
24286,68,10
24287,18,10
24288,5,10
24292,15,10
24293,5,10
24294,7,11
24297,28,11
24299,49,11
24303,17,11
24304,7,11
24307,9,12
24309,10,12
24310,23,12
24311,6,12
24312,14,12
24318,21,6
24320,9,6
24322,26,6
24323,8,6
24324,48,6
24327,6,6
24328,15,6
24329,18,6
24332,8,7
24333,17,7
24335,42,7
24336,46,7
24337,15,7
24341,9,7
24342,13,7
24343,11,7
24344,5,8
24347,7,8
24348,41,8
24349,85,8
24353,23,8
24358,24,6
24360,73,6
24361,7,6
24363,19,6
24364,5,6
24365,11,7
24367,54,7
24369,131,7
24370,26,7
24372,13,7
24374,26,7
24378,6,8
24379,21,8
24381,36,8
24382,10,8
24385,32,6
24387,117,6
24388,14,6
24390,11,6
24391,72,6
24392,6,6
24394,23,7
24396,35,7
24397,11,7
24400,41,7
24402,7,8
24403,10,8
24404,23,8
24406,95,8
24407,12,8
24410,28,8
24412,12,6
24413,18,6
24414,7,6
24415,29,6
24416,5,6
24417,52,6
24418,17,6
24419,18,6
24422,5,7
24423,5,7
24424,27,7
24425,30,7
24428,9,7
24429,19,7
24431,14,8
24432,15,8
24433,6,8
24434,39,8
24436,72,8
24439,20,8
24440,6,8
24441,8,6
24442,19,6
